caseid,year,id,age,sex,race,hispanic,racehisp,uscitzn,educ,degree,vetyears,wordsum,cohort,birthmo,zodiac,wrkstat,wrkslf,wrkgovt,marital,sibs,childs,res16,reg16,mobile16,born,region,xnorcsiz,srcbelt,size,vote12,pres12,if12who,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,natroad,natsoc,natmass,natpark,natchld,natsci,natenrgy,eqwlth,tax,spkath,colath,libath,spkrac,colrac,librac,spkcom,colcom,libcom,spkmil,colmil,libmil,spkhomo,colhomo,libhomo,spkmslm,colmslm,libmslm,cappun,gunlaw,courts,grass,uswar,uswary,relig,denom,other,fund,attend,reliten,pray,prayer,bible,affrmact,wrkwayup,closeblk,closewht,happy,hapmar,health,life,helpful,fair,trust,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,obey,popular,thnkself,workhard,helpoth,socrel,socommun,socfrend,socbar,class,rank,satfin,finalter,finrela,unemp,union,getahead,parsol,kidssol,fepol,abdefect,abnomore,abhlth,abpoor,abrape,absingle,abany,chldidel,pillok,sexeduc,divlaw,premarsx,teensex,xmarsex,homosex,pornlaw,spanking,letdie1,suicide1,suicide2,suicide3,suicide4,owngun,pistol,shotgun,rifle,rowngun,hunt,news,tvhours,phone,coop,comprend,form,fechld,fepresch,fefam,racdif1,racdif2,racdif3,racdif4,rushed,bored,helppoor,helpnot,helpsick,helpblk,compuse,webmob,emailmin,emailhr,usewww,wwwhr,wwwmin,genegen,letin1,sexornt,inthisp,intrace1,intrace2,intrace3,spanself,spanint,ballot,version,issp,sampcode,sample,samplerc,rsampcode,phase,vpsu,vstrat,wtss,wtssnr,wtssall,formwt,oversamp,lngthinv,intage,easyget,intethn,mode,intsex,feelevel,intyrs,artexbt,bigbang2,brlawfl,brnotax,cctv,clssmtes,discwk5,emonitor,evolved2,facebook,famorjob,flexhrs1,flickr,found,gendereq,givinffor,givinfusa,googlesn,govtinfo,gvinflu1,gvinflu2,harass5,hlthstrt,hope1,hope2,hope3,hope4,hope5,hope6,huadd,huaddwhy,hunt1,income16,incuspop,intmbile,intrecnt,intstart,intuse,intwkdyh,intwkdym,intwkenh,intwkenm,kidsinhh,leasthrs,linkedin,lotr1,lotr2,lotr3,lotr4,lotr5,lotr6,lowpay,pinterst,polgbeco,prvdhlth,prvdold,prvdschl,racethas,racethbl,racethhi,racethna,racethot,racethwh,rcontact,respond,rgroomed,rhlthend,rincom16,rlooks,rweight,sei10,sei10educ,sei10inc,sethrs,snapchat,snsmyear,tumblr,twitter,union1,unionsbd,usualhrs,vine,whatsapp,hotcore,boyorgrl,electron,bigbang,condrift,evolved,earthsun,radioact,viruses,lasers,spend18,partyid,hotcore_r,boyorgrl_r,electron_r,bigbang_r,condrift_r,evolved_r,earthsun_r,radioact_r,viruses_r,science_quiz,lasers_r,lotr2_rev,lotr4_rev,lotr5_rev,lot_scale,future_scale,abany_r,abdefect_r,abpoor_r,abhlth_r,abnomore_r,abrape_r,absingle_r,abortion,social_disconnect,authoritarianism,spkath_r,spkcom_r,spkhomo_r,spkmil_r,spkmslm_r,spkrac_r,tolerance,assisted,social_media,fechld_rev,femrole,obamavote,race2,unionhh,envir_spend,age5,female,fair_r,trust_r,social_trust
59946,2016,347,50,1,1,1,1,,20,4,0,4,1966,,11,1,2,2,3,1,3,5,3,2,1,3,3,3,41,1,1,,2,,,,,,,,,,,,2,2,2,2,2,2,1,3,,,,,,,,,,,,,,,,,,,,1,,2,2,1,,4,,,3,0,4,6,1,4,1,3,,,2,,,,1,2,1,3,2,3,2,3,3,2,2,3,2,2,3,2,5,4,1,2,3,2,1,5,7,3,2,1,1,4,2,4,,1,3,2,,,,,,,,2,3,1,3,4,2,,,1,3,1,1,2,2,2,,,,,,,5,1,3,1,1,2,2,3,3,1,2,1,1,,,1,1,2,1,1,,0,2,,3,0,,3,3,1,1,,,,,2,2,1,603,10,9,603,2,2,3215,.7821816815,.817455919,.7821816815,1,1,66,57,,1,2,2,75,6,2,,,,,2,2,,,2,1,3,2," ",,,,2,,,,2,1,,,,,,,1,,,,1,1,1,2002,1,5,0,0,30,1,,1,,,,,,,,1,,,,,,,,,,,1,1,,,,,,99.9,,,,1,2015,2,1,4,5,,1,2,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,2,5,3,6,,0,0,,3,0,3,3,3
59947,2016,348,40,2,1,1,1,,15,1,0,5,1976,,8,1,2,2,3,3,2,1,3,2,1,3,3,3,41,1,1,,4,2,1,1,1,1,1,1,2,1,3,1,1,1,2,2,1,1,1,,1,1,4,2,2,5,1,1,5,2,2,5,1,1,4,2,2,5,1,1,2,1,,,1,1,70,,2,2,2,4,2,3,4,1,5,5,3,,4,2,,,,,,,,,,,,,,,,,,,,,,1,5,4,7,2,5,3,2,1,,,1,,,2,1,1,1,1,1,1,1,3,1,1,1,4,1,1,4,,2,1,1,2,2,2,1,1,1,1,2,4,5,4,3,1,1,1,1,4,4,2,2,1,2,,,,,,,1,,0,40,,20,0,1,5,,1,1,,,,,1,1,1,603,10,9,603,1,2,3215,1.913987023,2.000302561,1.913987023,1,1,94,74,,1,1,2,50,16,,,4,1,1,,,3,,,,,," ",1,4,4,,1,7,3,,,,,,,,,1,,4,19,2,,,,,,,,,1,,,,,,,,,,,2,1,1,1,,,,,,,,1,3,,13,3,2,37.6,58.9,24.3,,,,,,,,,,,1,1,1,8,1,1,1,2,1,1,24,2,1,1,1,0,1,1,1,1,0,7,0,,,,,,1,1,1,1,1,1,1,7,7,,1,1,1,0,0,0,3,2,,4,9,,0,,4,2,1,,,
59948,2016,349,53,1,1,1,1,,12,1,0,5,1963,,4,1,2,2,5,2,1,1,3,2,1,3,3,3,6,2,,,4,3,1,1,3,2,1,2,,3,3,,2,1,2,2,,1,1,5,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,38,,2,3,2,4,2,3,,1,,,2,,,,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4,5,1,3,2,5,5,5,6,2,5,2,3,2,2,4,,2,6,2,,,,,,,,2,3,1,1,3,3,,,2,2,1,1,2,2,2,,,,,,,4,3,6,1,1,1,,2,2,2,2,2,1,,,3,3,3,3,1,,0,3,,14,0,,4,3,1,1,,,,,2,2,1,603,10,9,603,1,2,3215,.4784967557,.5000756403,.4784967557,1,1,149,76,,1,1,2,20,7,,,3,2,2,,,3,1,,,,," ",2,2,2,,5,1,7,,,7,5,6,4,6,6,1,,,16,2,,,,2,,,,,2,,,3,4,3,4,2,2,,,2,3,3,3,,,,,,,,2,3,,16,4,2,18.6,15.5,15.6,,,,,,4,,,,,1,1,1,,1,,1,1,8,2,,3,1,1,1,,1,,1,0,0,,1,2,2,4,10,28,,,,,,,,,12,1,,,,,,,,2,,,,,0,0,4,4,0,3,1,2
59949,2016,350,52,1,1,1,1,,12,1,3,5,1964,,2,1,2,1,3,1,2,2,3,1,1,3,3,3,6,1,,,4,,,,,,,,,,,,1,2,2,2,2,3,3,,2,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,1,2,2,,,2,1,32,,1,1,2,5,2,2,4,2,3,6,2,,1,1,,,,,,,,,,,,,,,,,,,,,,6,6,4,7,2,5,2,3,3,,,2,,,2,1,1,1,2,1,1,2,2,2,1,3,4,1,3,1,,2,1,1,2,2,2,1,1,1,1,1,1,5,1,6,1,1,2,3,3,3,2,2,2,2,,,,,,,1,,59,0,,6,0,3,3,,1,1,,,,,1,1,1,603,10,9,603,1,2,3215,.9569935115,1.000151281,.9569935115,1,1,71,76,,1,1,2,50,7,,1,2,2,2,,,3,1,,,,," ",2,3,2,,5,3,7,,2,,,,,,,1,,1,19,2,,,,,,,,,2,,,,,,,,,,,1,2,2,2,,,,,,,,1,3,1,19,3,3,31,19.2,44.2,,,,,,,,,,,1,8,2,,1,,1,1,2,2,,3,1,0,0,,1,,1,0,1,,1,,,,,,0,1,0,1,1,1,1,5,13,,1,1,1,1,1,1,6,2,,2,5,,0,,,4,0,,,
59950,2016,351,52,2,1,1,1,,14,1,0,,1964,,8,2,1,2,1,4,5,6,3,3,1,3,3,3,6,1,1,,3,2,1,2,1,1,2,1,2,3,2,3,3,2,2,3,2,3,2,3,1,2,5,2,2,5,1,1,5,2,2,5,1,1,4,1,2,5,1,1,1,3,1,,,2,,,2,5,1,2,,2,,,7,9,1,2,3,2,2,1,2,1,2,1,2,2,2,2,1,2,1,2,2,2,3,5,1,4,2,,,,,2,4,2,1,2,2,4,1,3,1,,1,2,1,2,2,2,2,,,,,,,1,3,2,,,,,,,2,2,2,2,,4,,,6,1,1,1,,,,,,,,2,2,2,2,2,4,,,,,,,,,,3,1,1,,,,,3,3,1,603,10,9,603,1,2,3215,.9569935115,1.000151281,.9569935115,1,1,108,76,,1,1,2,20,7,2,,,,,2,2,,,1,1,4,2," ",,,,1,,,,2,,7,3,3,7,6,6,1,,4,17,2,1,1,2008,1,0,2,0,1,1,12,2,3,2,3,2,2,4,,1,,,,,0,0,0,0,0,10,1,2,3,,4,3,3,21.8,45.4,6.9,2,2,2016,2,2,4,4,20,2,2,,,,,,,,,,,37,0,,,,,,,,,,,,4,4,4,16,26,0,1,0,1,0,0,0,2,,2,0,1,1,0,0,0,2,,3,,,,0,0,3,4,1,1,1,1
59951,2016,352,36,2,1,1,1,2,18,4,0,4,1980,,3,7,2,2,1,1,1,4,0,3,2,3,3,3,6,2,,1,2,,1,1,1,,1,1,1,3,3,1,,3,1,2,1,,1,,1,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,5,2,2,1,,,,1,4,,,3,2,4,6,1,3,4,1,9,9,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,2,5,4,7,3,5,1,1,2,,,2,,,2,1,1,1,1,1,1,1,2,1,1,1,4,4,1,4,,3,1,1,1,1,1,2,2,2,2,,4,5,1,6,1,2,1,2,3,3,1,1,1,2,,,,,,,1,,1,0,,0,2,2,,,1,1,,,,,1,1,1,603,10,9,603,1,2,3215,.9569935115,1.000151281,.9569935115,1,1,125,76,,1,1,2,20,7,,,1,2,2,,,3,,,,,," ",1,4,2,,10,3,100,,,,,,,,,1,,4,26,2,,,,,,,,,2,,,,,,,,,,,1,1,1,1,,,,,,,,2,3,,,4,3,99.9,,,,,,,,,,,,,1,2,2,1,1,8,1,2,2,8,,1,1,0,0,1,1,0,1,1,1,6,0,,,,,,1,1,1,1,1,1,1,7,8,,1,1,1,1,1,1,6,2,,3,6,1,0,,4,2,1,,,
59952,2016,353,46,2,1,1,1,,12,1,0,5,1970,,10,1,2,2,1,3,2,5,3,3,1,3,3,3,6,1,1,,4,3,1,1,1,1,1,1,,1,,3,1,1,,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,1,,3,2,1,,2,,,2,0,2,5,1,2,4,2,,,2,3,,,2,1,2,2,3,,3,3,3,3,2,3,2,2,3,2,3,5,2,1,4,3,3,4,5,3,3,2,3,3,2,4,,3,2,2,,,,,,,,2,2,1,3,4,1,,,2,3,1,1,2,2,2,,,,,,,5,1,3,1,1,1,1,3,4,2,2,2,1,,,3,4,2,5,1,,0,12,,5,0,,5,3,1,1,,,,,2,2,1,603,10,9,603,1,2,3215,.9569935115,1.000151281,.9569935115,1,1,116,76,,1,1,2,75,7,,,2,3,2,2,,3,,1,,,2," ",2,3,2,2,8,2,7,,,7,5,6,6,6,5,1,,,23,3,1,1,2010,1,1,0,0,30,2,,2,2,2,3,2,2,4,,1,2,2,1,1,,,,,,,,2,3,,21,4,3,39.2,61.1,25.9,,2,2014,2,2,4,,,2,2,1,1,1,,1,1,1,2,2,8,,1,1,1,1,,1,1,1,1,1,,0,4,4,4,15,29,,,,,,,,,7,3,,,,,,,,2,2,4,8,,0,0,4,3,1,1,1,1
59953,2016,354,56,1,1,1,1,,12,1,2,7,1960,,7,1,2,2,1,4,4,3,5,3,1,3,3,3,6,1,2,,7,,,,,,,,,,,,3,1,3,3,1,1,1,,1,1,5,1,1,5,1,1,4,1,1,5,1,1,4,1,1,5,1,,2,2,,,1,2,,,2,7,1,1,1,2,4,1,5,5,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,2,3,5,7,2,6,2,3,2,,,2,,,,2,2,,2,2,2,2,8,4,1,2,1,1,1,1,,1,2,2,2,2,2,3,3,3,3,3,1,5,2,3,1,1,2,3,2,2,2,2,2,1,,,,,,,1,,0,10,,20,0,2,5,,1,1,,,,,1,1,1,603,10,9,603,2,2,3215,1.564363363,1.634911838,1.564363363,1,1,89,76,,1,1,2,75,7,,,4,1,2,,,4,1,,,,," ",4,3,4,,7,100,100,,2,,,,,,,1,,1,21,2,,,,,,,,,2,,,,,,,,,,,2,2,2,3,,,,,,,,2,3,2,18,3,2,63.7,81.3,62.4,,,,,,,,,,,1,1,1,,2,,1,2,1,2,,3,1,1,1,,0,,1,1,0,,1,,,,,,0,0,0,,0,0,0,,7,,1,1,1,1,1,1,6,0,,2,3,,0,,,4,0,,,
59954,2016,355,64,2,1,1,1,,13,1,0,,1952,,11,7,2,2,1,1,1,6,3,2,1,3,3,3,6,1,1,,2,3,1,1,1,1,1,1,2,1,3,3,2,1,2,2,2,1,1,7,2,1,4,2,2,5,2,1,5,2,2,5,1,1,4,2,2,5,1,1,1,2,1,,,4,,,3,0,4,3,,3,,,9,9,1,1,1,2,1,2,1,3,2,3,2,3,3,3,3,2,2,2,3,2,4,5,1,3,2,,,,,2,5,1,3,3,2,4,1,3,2,,2,2,1,2,2,2,2,,,,,,,1,4,2,,,,,,,2,2,2,2,,4,,,6,1,1,1,,,,,,,,3,1,5,3,3,5,,,,,,,,,,3,1,1,,,,,3,3,1,603,10,9,603,1,2,3215,.9569935115,1.000151281,.9569935115,1,1,81,76,,1,1,2,50,7,1,,,,,2,3,,,1,3,3,2," ",,,,1,,,,3,,7,6,7,8,7,6,1,,4,20,1,1,1,1995,1,0,30,0,30,2,,2,5,1,4,2,2,4,2,2,,,,,0,0,0,0,0,10,,1,3,,,4,3,37.6,58.9,24.3,,2,2012,2,2,4,2,,2,2,,,,,,,,,,,29,1,,,,,,,,,,,,5,4,4,20,35,0,0,0,1,0,0,0,1,,1,1,1,1,0,0,0,3,,2,,,,0,0,4,5,1,3,3,3
59955,2016,356,62,2,2,1,2,,19,4,0,,1954,,12,1,2,1,1,1,3,6,5,3,1,5,3,4,27,1,1,,4,,,,,,,,,,,,1,1,2,1,1,2,2,1,2,2,5,1,2,5,1,,,,2,5,1,2,4,1,2,5,1,1,1,3,1,,,1,60,103,1,7,1,1,,2,,,9,6,2,1,2,1,2,2,1,2,2,1,2,3,2,3,2,3,2,2,3,1,3,5,1,4,2,,,,,2,4,2,3,3,1,2,1,2,1,,1,1,1,1,1,1,2,,,,,,,1,1,2,,,,,,,1,1,2,2,2,4,,,4,1,1,2,,,,,,,,2,,2,3,2,3,,,,,,,,,,3,1,2,,,,,3,3,1,604,10,9,604,1,1,3216,1.435490267,1.385418027,1.435490267,1,1,30,53,,2,1,2,,0,1,,,,,1,1,,,1,1,3,1," ",,,,1,,,,2,1,7,6,6,5,7,6,1,,4,23,2,1,1,1995,1,3,0,5,0,2,16,1,5,2,4,2,2,5,,1,,,,,0,8,0,2,0,0,1,1,4,2,9,3,3,80.9,98.9,60.7,1,2,2005,1,1,2,4,40,2,2,,,,,,,,,,,,0,,,,,,,,,,,,4,4,4,20,31,0,1,1,1,1,1,1,6,,2,0,,0,0,0,0,,,8,,,,1,1,,5,1,3,3,3
59956,2016,357,35,2,3,5,3,1,16,3,0,,1981,,9,2,2,1,1,4,2,5,5,2,2,5,3,4,27,1,1,,5,,1,2,1,2,1,1,1,2,2,2,2,,2,2,1,,2,4,2,1,5,2,2,5,1,1,5,2,2,5,1,1,4,2,2,5,1,2,1,,1,,,1,70,,2,7,3,1,,2,,,9,9,2,2,1,1,3,2,3,2,2,2,1,1,1,2,1,2,1,,2,1,4,5,1,3,2,,,,,3,6,2,1,3,2,4,1,1,2,,2,2,2,2,2,2,2,,,,,,,1,4,1,,,,,,,2,2,2,2,,4,,,3,2,2,1,,,,,,,,2,3,3,3,3,3,,,,,,,,,,3,1,1,,,,,3,3,1,604,10,9,604,1,1,3216,.9569935115,.9236120178,.9569935115,1,1,200,54,,1,2,2,75,6,2,,,,,2,2,,,1,1,1,2," ",,,,2,,,,2,,5,5,5,5,7,7,1,,4,21,2,2,2,2015,1,0,30,0,0,2,20,1,4,2,5,2,2,4,,2,,,,,0,0,10,0,0,0,2,1,,,15,,,77.2,97.5,59.3,1,2,2012,2,2,4,3,20,2,2,,,,,,,,,,,,0,,,,,,,,,,,,4,4,4,19,28,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,3,,2,,,,,0,3,2,1,3,2,3
59957,2016,358,60,1,1,1,1,,16,2,3,9,1956,,10,1,2,1,5,2,0,3,2,3,1,5,3,4,27,1,1,,4,,,,,,,,,,,,1,2,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,2,,2,1,1,,4,,,3,0,4,6,1,3,2,3,,,2,,,,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,5,4,1,3,2,4,7,5,7,3,5,2,2,3,1,4,,2,4,,,,,,,,,2,3,1,3,4,1,,,2,2,1,1,2,2,2,,,,,,,1,2,3,1,1,2,2,3,3,2,2,1,2,,,3,4,3,2,1,,0,12,,15,0,,3,3,1,4,1,,,,2,2,1,604,10,9,604,2,1,3216,1.564363363,1.509795819,1.564363363,1,1,102,64,,5,1,2,75,12,1,,,,,1,2,,,1,3,3,2," ",,,,1,,,,2,2,,,,,,,1,,,21,2,1,1,1993,1,1,0,1,0,2,,1,,,,,,,,2,,,,,,,,,,,2,1,3,2,21,3,2,52,65.3,51.8,,2,1996,2,2,4,4,,2,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,13,0,,,,,,,,2,4,3,6,,0,0,,4,0,3,3,3
59958,2016,359,36,2,2,1,2,,14,2,0,,1980,,1,1,2,2,4,3,2,3,5,3,1,5,3,4,27,1,1,,4,,,,,,,,,,,,2,1,2,2,2,3,3,1,1,2,5,1,1,4,2,2,5,1,2,5,1,2,5,1,2,5,1,1,1,2,2,,,4,,,3,5,4,1,,2,,,9,9,2,,2,2,2,1,2,2,3,3,1,3,3,3,2,2,2,2,3,1,4,5,1,2,3,,,,,3,4,2,2,2,2,4,1,2,1,,2,2,2,2,2,2,2,,,,,,,1,1,1,,,,,,,2,2,2,2,,4,,,6,1,1,2,,,,,,,,2,,3,1,1,1,,,,,,,,,,3,1,2,,,,,3,3,1,604,10,9,604,1,1,3216,.4784967557,.4618060089,.4784967557,1,1,115,53,,2,1,2,50,0,2,,,,,2,2,,,1,3,2,2," ",,,,2,,,,2,1,3,8,2,7,6,6,1,,4,20,2,1,1,2000,1,1,0,0,30,1,35,2,3,2,4,2,2,4,,1,,,,,0,10,0,0,0,0,1,1,4,2,20,4,3,38.8,57.6,27.8,3,2,2009,2,2,4,2,40,2,2,,,,,,,,,,,,0,,,,,,,,,,,,4,4,4,17,26,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,1,1,,2,,,,1,0,,2,1,1,1,1
59959,2016,360,62,2,1,1,1,,13,1,0,8,1954,,3,1,2,2,2,2,2,5,5,1,1,5,3,4,27,1,2,,5,,,,,,,,,,,,1,2,1,2,2,2,2,,2,2,5,1,2,5,1,2,4,1,2,5,1,1,4,2,2,5,1,1,1,2,,,1,2,,,2,3,1,1,2,2,4,2,9,9,1,,2,1,,,,,,,,,,,,,,,,,,,,,,3,5,5,7,4,3,1,1,5,,,1,,,2,1,2,1,2,1,2,2,8,1,1,2,4,1,1,4,,1,1,1,2,2,2,2,2,2,2,,4,5,2,6,1,1,2,2,3,4,2,2,2,1,,,,,,,1,,0,25,,1,0,3,4,,1,4,1,,,,1,1,1,604,10,9,604,1,1,3216,.4784967557,.4618060089,.4784967557,1,1,83,64,,5,1,2,75,12,,1,3,3,1,,,1,1,,,,," ",1,3,2,,10,1,7,,1,,,,,,,1,,4,26,2,,,,,,,,,1,,,,,,,,,,,2,2,2,1,,,,,,,,1,4,2,26,4,3,55.3,68.6,56.5,,,,,,,,,,,1,8,1,,1,,1,2,8,1,,6,1,0,1,,1,,1,1,0,,0,,,,,,0,1,0,1,0,1,0,3,10,,0,0,1,0,0,0,1,2,,3,7,,0,,,5,1,,,
59960,2016,361,30,1,1,1,1,,16,1,0,,1986,,7,1,2,1,1,1,1,5,5,2,1,5,3,4,27,1,2,,4,1,1,1,1,2,1,1,1,3,,3,1,1,2,2,1,1,1,6,1,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,1,1,1,1,,,4,,,3,0,4,6,,3,,,9,9,2,1,1,1,1,2,1,3,2,3,3,3,2,3,2,3,3,1,3,2,5,4,1,2,3,,,,,3,4,1,1,4,2,1,2,1,1,,1,1,1,1,1,1,1,,,,,,,3,4,2,,,,,,,1,1,2,2,1,4,,,6,1,1,1,,,,,,,,2,2,4,5,4,4,,,,,,,,,,3,1,4,1,,,,3,3,1,604,10,9,604,1,1,3216,.9569935115,.9236120178,.9569935115,1,1,103,64,,5,1,2,75,12,2,,,,,2,2,,,2,3,2,2," ",,,,2,,,,1,,7,7,8,7,8,8,1,,4,23,2,1,1,1997,1,1,0,1,0,2,48,1,4,1,5,1,1,5,,1,,,,,0,0,0,0,0,10,1,1,4,,20,1,3,65.1,72.2,75.4,3,2,2013,2,2,1,3,60,2,2,,,,,,,,,,,,4,,,,,,,,,,,,5,5,5,23,39,1,1,1,1,1,1,1,7,,0,1,1,1,1,1,1,6,,2,,,,0,1,4,1,0,3,3,3
59961,2016,362,27,1,1,1,1,,12,1,0,5,1989,,10,1,2,2,5,9,1,5,5,1,1,5,3,4,27,2,,3,4,,,,,,,,,,,,1,1,2,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,3,1,1,,1,70,,2,2,1,1,1,2,3,3,,,2,,,,2,3,2,2,2,2,2,3,1,3,1,3,2,1,2,1,4,5,1,2,3,4,2,3,5,2,5,3,1,3,1,4,,4,3,2,,,,,,,,3,1,1,1,4,1,,,2,2,1,1,2,2,2,,,,,,,5,2,6,1,1,2,1,4,4,2,2,1,,,,5,1,3,3,1,,0,24,,36,0,,4,3,1,2,,,,,2,2,1,604,10,9,604,1,1,3216,.9569935115,.9236120178,.9569935115,1,1,75,53,,2,1,2,50,0,2,,,,,2,2,,,1,1,3,2," ",,,,1,,,,1,1,,,,,,,1,,,19,2,1,1,1996,1,24,0,12,0,2,,1,,,,,,,,2,,,,,,,,,,,1,1,3,1,18,3,3,28.7,25.7,30.3,,2,2004,2,2,4,5,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,2,3,4,9,0,0,0,,1,0,2,1,2
59962,2016,363,79,1,1,1,1,,16,4,3,9,1937,,2,5,2,1,1,1,4,4,1,3,1,5,3,4,27,1,1,,,1,1,1,1,2,2,1,1,1,2,2,1,2,2,2,,1,2,,2,1,4,2,1,5,2,1,5,2,1,5,2,1,4,2,1,5,2,2,1,3,,,2,1,50,,3,2,2,4,1,2,2,2,9,9,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,2,5,4,6,3,4,1,3,4,,,1,,,2,1,1,1,1,1,1,1,8,1,1,3,3,2,1,4,,2,1,1,1,1,1,2,2,2,2,,4,4,1,3,1,1,1,2,2,,1,2,1,2,,,,,,,1,,30,0,,7,0,4,3,,1,2,,,,,1,1,1,604,10,9,604,1,1,3216,.9569935115,.9236120178,.9569935115,1,1,110,53,,2,1,2,,0,,,1,1,2,,,2,,,,,," ",1,2,2,,9,7,1,,,,,,,,,1,,4,24,1,,,,,,,,,2,,,,,,,,,,,,5,5,1,,,,,,,,1,4,,18,3,3,80.7,92.1,86,,,,,,,,,,,1,1,1,1,1,1,1,2,2,2,,0,1,1,1,1,1,1,1,1,1,10,1,,,,,,1,1,1,1,1,1,1,7,8,,1,1,1,1,1,1,6,2,,3,,,0,,3,5,0,,,
59963,2016,364,60,2,1,1,1,,12,1,0,,1956,,10,1,2,2,1,0,3,5,5,2,1,5,3,4,27,1,1,,4,,,,,,,,,,,,1,2,1,2,1,2,2,5,1,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,1,1,2,1,,,2,,,2,2,2,3,,3,,,4,8,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,5,4,1,2,3,,,,,3,4,1,1,4,2,4,1,2,3,,1,1,1,1,1,1,1,,,,,,,2,4,2,,,,,,,2,2,2,2,,4,,,3,2,2,2,,,,,,,,2,,4,4,3,4,,,,,,,,,,3,1,1,,,,,3,3,1,604,10,9,604,2,1,3216,2.346545044,2.264693728,2.346545044,1,1,134,54,,1,1,2,75,6,1,,,,,2,2,,,2,1,3,2," ",,,,2,,,,2,2,7,6,6,7,7,6,1,,4,24,2,1,1,1993,1,3,0,2,0,2,32,2,2,3,4,3,2,4,,1,,,,,0,0,0,0,0,10,2,1,3,2,19,3,1,67.8,87.3,63.6,3,2,2009,2,2,4,4,32,2,2,,,,,,,,,,,,1,,,,,,,,,,,,3,3,4,14,33,1,1,1,1,1,1,1,7,,0,1,1,1,1,1,1,6,,1,,,,0,0,,4,1,3,3,3
59964,2016,365,51,1,1,1,1,,18,4,0,10,1965,,5,1,2,2,1,5,5,3,5,2,1,5,5,5,4,1,1,,4,,,,,,,,,,,,3,2,1,1,1,2,2,,2,1,4,2,1,4,2,1,5,2,1,4,2,1,4,2,1,4,2,2,,,,,2,2,,,2,6,1,2,1,2,3,2,4,9,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,3,3,1,1,4,,,2,,,2,1,,1,,1,,,3,2,1,3,4,2,2,4,,,1,1,2,2,2,1,1,1,1,1,1,1,1,6,1,1,2,2,3,3,1,2,1,2,,,,,,,1,,0,32,,20,0,4,3,,1,1,,,,,1,1,1,604,10,9,604,1,1,3216,1.435490267,1.385418027,1.435490267,1,1,35,57,,1,1,2,75,3,,1,1,1,1,,,3,1,,,,," ",2,2,4,,3,3,7,,1,,,,,,,1,,1,26,2,,,,,,,,,2,,,,,,,,,,,1,1,2,1,,,,,,,,1,5,1,25,4,3,34.5,54.6,21.2,,,,,,,,,,,1,1,1,,1,,1,2,2,2,,1,1,1,1,,1,,1,1,1,,1,,,,,,,1,,1,,1,,,5,,1,1,1,1,1,1,6,2,,3,6,,0,,,4,0,,,
59965,2016,366,42,2,1,1,1,,12,1,0,4,1974,,1,1,2,2,3,3,1,1,5,1,1,5,5,5,4,3,,1,6,,,,,,,,,,,,2,1,2,2,1,1,2,3,,,,,,,,,,,,,,,,,,,,2,,2,2,1,,4,,,3,0,4,4,2,2,4,2,,,3,,,,1,2,2,1,2,3,2,2,2,3,2,3,2,2,2,1,4,5,3,1,2,4,7,4,3,3,5,2,3,3,2,4,,1,1,2,,,,,,,,4,2,1,2,4,1,,,1,3,1,1,2,2,2,,,,,,,2,2,3,1,1,2,2,4,4,2,2,1,2,,,3,1,2,4,1,,0,10,,20,0,,5,3,1,,,,,,2,2,1,604,10,9,604,1,1,3216,.9569935115,.9236120178,.9569935115,1,1,89,37,,5,1,1,50,2,2,,,,,2,2,,,2,3,2,2," ",,,,2,,,,2,1,,,,,,,1,,,20,2,1,1,1993,1,,,,,2,,2,,,,,,,,2,,,,,,,,,,,1,1,4,2,18,5,2,35.3,57.1,21.1,,2,,2,2,4,3,,2,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,2,0,3,8,1,0,0,,3,1,3,1,2
